Lead_ID,Counselling,Application,Enrolled,Test_Score
L00001,Yes,Yes,Yes,81
L00002,Yes,No,No,
L00003,Yes,Yes,No,50
L00004,Yes,No,No,
L00005,No,No,No,
L00006,No,No,No,
L00007,Yes,Yes,Yes,71
L00008,No,No,No,
L00009,Yes,Yes,Yes,66
L00010,No,No,No,
L00011,Yes,Yes,Yes,74
L00012,Yes,Yes,Yes,83
L00013,Yes,No,No,
L00014,Yes,Yes,No,67
L00015,Yes,No,No,
L00016,Yes,Yes,No,65
L00017,Yes,Yes,Yes,82
L00018,No,No,No,
L00019,Yes,No,No,
L00020,No,No,No,
L00021,Yes,Yes,Yes,83
L00022,Yes,No,No,
L00023,Yes,Yes,Yes,75
L00024,Yes,Yes,Yes,82
L00025,Yes,Yes,No,62
L00026,Yes,Yes,Yes,69
L00027,Yes,Yes,No,61
L00028,No,No,No,
L00029,Yes,No,No,
L00030,Yes,No,No,
L00031,Yes,Yes,No,58
L00032,Yes,Yes,No,63
L00033,Yes,Yes,Yes,83
L00034,Yes,Yes,No,52
L00035,No,No,No,
L00036,No,No,No,
L00037,No,No,No,
L00038,No,No,No,
L00039,Yes,Yes,No,67
L00040,Yes,Yes,Yes,83
L00041,No,No,No,
L00042,Yes,No,No,
L00043,Yes,Yes,No,50
L00044,No,No,No,
L00045,Yes,Yes,Yes,86
L00046,No,No,No,
L00047,No,No,No,
L00048,Yes,Yes,Yes,79
L00049,No,No,No,
L00050,Yes,Yes,Yes,86
L00051,Yes,No,No,
L00052,Yes,Yes,Yes,84
L00053,No,No,No,
L00054,Yes,No,No,
L00055,No,No,No,
L00056,Yes,Yes,No,69
L00057,Yes,Yes,No,74
L00058,Yes,No,No,
L00059,Yes,Yes,Yes,83
L00060,Yes,Yes,No,59
L00061,Yes,Yes,Yes,81
L00062,No,No,No,
L00063,No,No,No,
L00064,Yes,No,No,
L00065,Yes,Yes,No,64
L00066,Yes,No,No,
L00067,Yes,Yes,No,67
L00068,Yes,Yes,Yes,82
L00069,No,No,No,
L00070,Yes,Yes,Yes,76
L00071,No,No,No,
L00072,No,No,No,
L00073,No,No,No,
L00074,Yes,No,No,
L00075,Yes,Yes,Yes,82
L00076,No,No,No,
L00077,No,No,No,
L00078,Yes,Yes,Yes,79
L00079,No,No,No,
L00080,No,No,No,
L00081,Yes,No,No,
L00082,Yes,Yes,Yes,80
L00083,Yes,Yes,No,65
L00084,Yes,No,No,
L00085,Yes,No,No,
L00086,Yes,Yes,No,62
L00087,No,No,No,
L00088,Yes,Yes,Yes,74
L00089,No,No,No,
L00090,Yes,No,No,
L00091,Yes,No,No,
L00092,No,No,No,
L00093,Yes,No,No,
L00094,Yes,No,No,
L00095,Yes,Yes,No,62
L00096,No,No,No,
L00097,No,No,No,
L00098,Yes,No,No,
L00099,Yes,Yes,No,65
L00100,Yes,Yes,Yes,81
L00101,Yes,No,No,
L00102,Yes,Yes,Yes,72
L00103,No,No,No,
L00104,Yes,No,No,
L00105,Yes,No,No,
L00106,Yes,Yes,Yes,86
L00107,Yes,Yes,No,53
