Lead_ID,Lead_Source,City,Course_Interest,Date
L00001,LinkedIn,Mumbai,Data Analytics,17-04-2025
L00002,Instagram,Mumbai,Data Analytics,22-01-2025
L00003,Campus Drive,Pune,Data Science,02-02-2025
L00004,LinkedIn,Pune,Data Analytics,03-03-2025
L00005,LinkedIn,Chennai,Data Science,03-01-2025
L00006,Website,Bangalore,Data Analytics,18-01-2025
L00007,Campus Drive,Pune,AI/ML,09-01-2025
L00008,Instagram,Mumbai,Data Analytics,04-02-2025
L00009,Instagram,Chennai,AI/ML,06-01-2025
L00010,Website,Pune,AI/ML,03-03-2025
L00011,Website,Delhi,Data Analytics,03-03-2025
L00012,LinkedIn,Bangalore,Data Science,10-02-2025
L00013,Website,Chennai,Data Analytics,11-01-2025
L00014,Website,Hyderabad,Data Science,16-04-2025
L00015,LinkedIn,Bangalore,Data Analytics,23-01-2025
L00016,LinkedIn,Delhi,Data Analytics,04-02-2025
L00017,Website,Delhi,Data Analytics,27-01-2025
L00018,Instagram,Bangalore,Data Science,06-04-2025
L00019,Instagram,Mumbai,Data Analytics,12-02-2025
L00020,LinkedIn,Hyderabad,AI/ML,28-01-2025
L00021,Website,Bangalore,Data Science,06-01-2025
L00022,LinkedIn,Pune,Data Analytics,02-04-2025
L00023,Instagram,Hyderabad,AI/ML,26-04-2025
L00024,LinkedIn,Mumbai,Data Science,20-02-2025
L00025,Website,Bangalore,AI/ML,23-04-2025
L00026,Instagram,Bangalore,Data Science,28-02-2025
L00027,Instagram,Bangalore,Data Analytics,02-01-2025
L00028,Website,Hyderabad,Data Analytics,17-01-2025
L00029,LinkedIn,Chennai,AI/ML,11-03-2025
L00030,Website,Bangalore,Data Analytics,11-03-2025
L00031,Instagram,Chennai,Data Analytics,31-03-2025
L00032,Campus Drive,Pune,Data Science,11-01-2025
L00033,Website,Chennai,AI/ML,22-04-2025
L00034,Campus Drive,Mumbai,Data Analytics,29-04-2025
L00035,Campus Drive,Delhi,Data Science,24-01-2025
L00036,Campus Drive,Chennai,AI/ML,14-04-2025
L00037,Instagram,Delhi,Data Science,09-04-2025
L00038,Instagram,Delhi,AI/ML,07-03-2025
L00039,Website,Bangalore,Data Science,09-03-2025
L00040,Website,Bangalore,Data Science,17-02-2025
L00041,LinkedIn,Delhi,Data Science,20-02-2025
L00042,Website,Pune,Data Science,30-01-2025
L00043,Campus Drive,Chennai,Data Science,17-02-2025
L00044,Campus Drive,Delhi,Data Science,15-02-2025
L00045,LinkedIn,Bangalore,Data Science,24-01-2025
L00046,Campus Drive,Mumbai,Data Science,01-02-2025
L00047,Instagram,Pune,Data Science,16-04-2025
L00048,Website,Delhi,AI/ML,01-02-2025
L00049,Campus Drive,Bangalore,Data Science,09-01-2025
L00050,LinkedIn,Mumbai,AI/ML,29-04-2025
L00051,LinkedIn,Bangalore,Data Science,20-01-2025
L00052,Website,Chennai,Data Analytics,28-03-2025
L00053,Instagram,Bangalore,AI/ML,04-03-2025
L00054,Website,Pune,AI/ML,18-02-2025
L00055,LinkedIn,Chennai,Data Science,07-04-2025
L00056,Instagram,Chennai,Data Science,13-04-2025
L00057,Website,Chennai,Data Science,24-04-2025
L00058,LinkedIn,Pune,Data Analytics,31-03-2025
L00059,Website,Bangalore,Data Science,01-01-2025
L00060,Instagram,Bangalore,Data Science,27-04-2025
L00061,Website,Hyderabad,AI/ML,16-01-2025
L00062,Instagram,Bangalore,AI/ML,20-04-2025
L00063,Instagram,Pune,AI/ML,17-02-2025
L00064,Instagram,Delhi,AI/ML,11-04-2025
L00065,Website,Pune,Data Analytics,10-01-2025
L00066,Website,Pune,Data Science,02-04-2025
L00067,LinkedIn,Pune,Data Analytics,02-02-2025
L00068,Website,Pune,Data Analytics,13-02-2025
L00069,Instagram,Hyderabad,Data Analytics,22-03-2025
L00070,LinkedIn,Pune,AI/ML,03-02-2025
L00071,Website,Mumbai,Data Science,21-01-2025
L00072,LinkedIn,Mumbai,Data Science,24-01-2025
L00073,Campus Drive,Chennai,AI/ML,23-04-2025
L00074,Instagram,Delhi,Data Science,12-01-2025
L00075,Website,Bangalore,AI/ML,17-01-2025
L00076,Campus Drive,Bangalore,Data Science,15-04-2025
L00077,LinkedIn,Chennai,AI/ML,05-04-2025
L00078,LinkedIn,Mumbai,Data Science,09-04-2025
L00079,Website,Bangalore,Data Analytics,19-04-2025
L00080,Campus Drive,Delhi,Data Analytics,05-01-2025
L00081,LinkedIn,Hyderabad,AI/ML,21-04-2025
L00082,Website,Mumbai,AI/ML,07-01-2025
L00083,Website,Mumbai,Data Science,06-02-2025
L00084,Website,Bangalore,Data Science,04-01-2025
L00085,LinkedIn,Chennai,AI/ML,08-02-2025
L00086,Instagram,Hyderabad,Data Science,13-01-2025
L00087,Instagram,Bangalore,Data Analytics,01-01-2025
L00088,Instagram,Bangalore,Data Analytics,23-04-2025
L00089,Instagram,Mumbai,Data Science,16-02-2025
L00090,LinkedIn,Hyderabad,Data Science,05-02-2025
L00091,LinkedIn,Bangalore,Data Science,14-01-2025
L00092,Website,Hyderabad,Data Analytics,26-02-2025
L00093,Campus Drive,Delhi,Data Science,08-01-2025
L00094,LinkedIn,Chennai,AI/ML,28-01-2025
L00095,Campus Drive,Delhi,Data Analytics,17-01-2025
L00096,Instagram,Hyderabad,Data Science,06-01-2025
L00097,Website,Bangalore,AI/ML,10-01-2025
L00098,Campus Drive,Mumbai,Data Science,29-04-2025
L00099,LinkedIn,Bangalore,Data Analytics,26-03-2025
L00100,Website,Pune,Data Science,09-04-2025
L00101,Website,Mumbai,AI/ML,03-01-2025
L00102,Campus Drive,Pune,Data Analytics,17-01-2025
L00103,Website,Delhi,Data Science,23-04-2025
L00104,Instagram,Pune,AI/ML,03-02-2025
L00105,Instagram,Bangalore,AI/ML,18-04-2025
L00106,LinkedIn,Mumbai,Data Science,14-01-2025
L00107,Campus Drive,Pune,AI/ML,23-03-2025
L00108,LinkedIn,Bangalore,Data Analytics,30-01-2025
L00109,Campus Drive,Chennai,AI/ML,25-02-2025
L00110,Website,Chennai,Data Science,03-02-2025
L00111,Instagram,Hyderabad,Data Analytics,23-01-2025
L00112,Instagram,Chennai,Data Science,08-03-2025
L00113,LinkedIn,Pune,Data Science,20-02-2025
L00114,Instagram,Delhi,Data Science,05-01-2025
L00115,Instagram,Hyderabad,Data Science,26-01-2025
L00116,Website,Delhi,Data Analytics,04-03-2025
L00117,Website,Mumbai,Data Analytics,16-02-2025
L00118,LinkedIn,Pune,Data Science,26-01-2025
L00119,Website,Hyderabad,Data Analytics,19-04-2025
L00120,LinkedIn,Hyderabad,Data Analytics,05-03-2025
L00121,Website,Delhi,AI/ML,13-02-2025
L00122,Website,Mumbai,AI/ML,21-04-2025
L00123,LinkedIn,Bangalore,Data Analytics,11-02-2025
L00124,Instagram,Hyderabad,Data Science,11-03-2025
L00125,LinkedIn,Chennai,AI/ML,16-03-2025
L00126,Instagram,Bangalore,Data Analytics,03-01-2025
L00127,Campus Drive,Chennai,Data Analytics,04-01-2025
L00128,LinkedIn,Delhi,Data Analytics,03-03-2025
L00129,LinkedIn,Pune,Data Analytics,14-02-2025
L00130,Instagram,Chennai,Data Science,12-01-2025
L00131,Instagram,Mumbai,AI/ML,11-01-2025
L00132,Instagram,Hyderabad,Data Science,06-01-2025
L00133,Instagram,Pune,Data Science,04-03-2025
L00134,Website,Hyderabad,Data Analytics,24-01-2025
L00135,Instagram,Mumbai,AI/ML,01-03-2025
L00136,Instagram,Hyderabad,Data Science,03-02-2025
L00137,Instagram,Mumbai,Data Analytics,15-04-2025
L00138,Website,Hyderabad,Data Science,06-02-2025
L00139,Website,Pune,AI/ML,04-01-2025
L00140,LinkedIn,Delhi,Data Analytics,07-02-2025
L00141,Campus Drive,Pune,AI/ML,22-02-2025
L00142,Website,Hyderabad,AI/ML,06-01-2025
L00143,Website,Chennai,Data Analytics,21-04-2025
L00144,Campus Drive,Bangalore,Data Science,11-04-2025
L00145,Instagram,Chennai,AI/ML,07-03-2025
L00146,Campus Drive,Bangalore,AI/ML,07-02-2025
L00147,LinkedIn,Mumbai,Data Science,29-01-2025
L00148,Website,Hyderabad,Data Analytics,05-02-2025
L00149,Campus Drive,Delhi,AI/ML,13-03-2025
